Category,Question,Answer,Category1,Question1,Answer1,Category2,Question2,Answer2
Geography,What is the second largest country in the world? ,Canada ,Toys & Games,This game (involving a net) was introduced in 1874 as sphairistike,Tennis,Science & Nature,A hot spring which shoots steam into the air is a _______.,Geyser
General,"Whose life story is titled 'fly me, i'm freddie!'",Freddie laker,General,On which ground did Brian Lara score 501 not out,Edgbaston,General,"What links a Gig, Spider and Phaeton",Horse drawn carriages
General,"In 1864, who was massacred at sand creek detention camp in colorado",300,Music,"How Are The Band Aston, Marvin JB & Oritse More Commonly Known",JLS,General,Name the Japanese Stock Exchange Index.,Nikkei
General,Arnold Schwarzenegger played Doug Quaid in which 1990 film?,Total Recall,General,What does the word antediluvian mean,Before the flood,General,What is the U.S. equivalent of the S.A.S.,Delta force
General,Who is supposed to be buried under Kings Cross station,Boadicea, Geography,How many time zones are there in China?,One,General,Who is on a U.S. $50 bill,Ulysses s grant
General,How many legs does odin's horse have,Eight,General,What was Emperor Napoleon Bonaparte's official emblem,Bumblebee,General,What us state includes the telephone area code 607,New york
General,Whose nickname was slowhand (both names),Eric Clapton,General,What is a 300th anniversary called,Tercentenary,General,Peniaphobia is the fear of,Poverty
General,Taken literally what should you see in a Hippodrome,Horses,General,What does a.n.c stand for,African national congress,Geography,What canal connects lake ontario and lake erie,Welland canal
General,Tradionally What Does A Fletcher Make,Arrows,Science & Nature,Is Your Stomach Positioned Above Or Below Your Intestines ,Above ,General,Which film of the 70s received the most Oscars,Cabaret 1972
General,In which state would you find the geographical centre of the contiguous United States of America,Kansas,General,The word 'traitor' comes from which wwii norwegian who collaberated with the germans,Quisling,General,"When he died, the Romans re named September after him, but soon turned back to September. Who was he",Tiberius
General,Who founded the Church of Scientology,L. ron hubbard,Music,"The Song ""Party All The Time"" Was Released By Which Famous Actor",Eddie Murphy,General,What is the second largest city in Ireland,Cork
Music,"""Axl Rose, Izzy Stradlin, Steve Adler, Slash, Duff McKagen"" All Make Up Which Group",Guns N Rose,General,Who was the only player to win mvp in both leagues,Frank robinson,General,To where in France do the sick make pilgrimages,Lourdes
 Geography,What is the capital of Canada ?,Ottawa,General,For what feat is Alexei Leonov famous,First space walk,General,What is a group of this animal called: Dog,Pack
General,What is silviculture,Forestry,General,Which date in the year is seen as the traditional high spot of the Protestant marching season in Northern Ireland?,12th July,General,"What country lifted a ban on Aristotle, Shakespeare & Dickens in 1978",China
General,An astronomical unit is the standard measurement taken from the earth to where,The sun,General,"Which group sang the song ""Ordinary World""?",Duran Duran,General,What is a group of chickens,Brood
Science & Nature,The Worlds First Motorway Opened In 1924 In Which Country ,Italy ,General,Who makes barrels,Cooper,General,On what side should yoU.S.leep to improve digestion,Right
People & Places,What Do O.J Simpsons Initials Stand For ,Orenthal James ,General,In the 18th century what would a pencil be,Brush,General,What neck of water do you cross when sailing from Malaga to Tangier,Strait of gibralta
Science & Nature,What Is Another Name For The Leopard? ,The Panther ,General,Excluding religious works what is the worlds top selling book,Guinness Book of Records,General,Who wrote The French Lieutenant's Woman,John fowles
General,What is used to flavour Kriek Belgian beer,Cherries,General,The Little Shop of Horrors (1986) takes place in what kind of shop,Florist shop,General,Where would you find a Dry Bible,Heart chamber of a ruminant
General,"To what family of plants do the following belong apples, pears, plums, cherries, almonds, peaches and apricots",Rose family,General,What is the largest environmental organisation in the world,Greenpeace,Music,"Who Had A Hit In 1993 With ""For Whom The Bell Tolls""",The Bee Gees
General,"Which Actor Played The Character Of ""Abdul"" In The Beatles Movie ""Help!""",Warren Mitchell,Science & Nature, Ninety percent of all species that have become extinct have been __________,Birds,General,Which father and daughter starred in the film 'Paper Moon',Ryan and tatum o'neal
General,Santo domingo is the capital of ______,Dominican republic,General,What is the main ingredient of Scotch Woodcock,Anchovies,General,How many claws does a housecat have,Eighteen
General,In England it is specifically illegal to be drunk where,In a pub,Music,Ice In The Sun Was An Early Hit For Which Rock Legends,Status Quo,Art & Literature,What publication was subtitled The What's New Magazine,Popular science
General,What is the Olympic motto in the original Latin?,"Citius, altius, fortius", Geography,Where is Angel Falls?,Venezuela,General,Car racing and what sport were banned in the USA during WW2,Horse Racing
Music,Who Had A Hit In 1980 With Captain Beaky,Keith Mitchell,Science & Nature," The hummingbird's tiny __________, 4.2% of its body weight, is proportionately the largest in the bird kingdom.",Brain,General,An animal is a fish if it has _________,Gills
General,"Which Long Running TV Show Had It's First And Only Female Winner ""Katy Cropper"" In 1990",One Man And His Dog,General,The Great Salt Lake lies in which American state,Utah,General,This band was formed in Germany in 1976 by writer and producer Frank Farian,Boney m
General,90% of Americans consider themselves what,Shy,General,Recycling one glass jar saves enough energy to watch TV for how many hours?,Three,Geography,What is the capital of Zimbabwe,Salisbury
General,Which brothers published the storybook entitled 'Household Tales' in the 19th century,The brothers grimm,General,Where are three quarters of the world's pineapples grown,Hawaii,General,Dominica supplies a good part of the world with Rose's,Lime juice
General,Who saved Andromeda from the sea monster,Perseus,Science & Nature, A bear in hibernation loses up to 25 percent of its __________,Body weight,General,Albert Finney turned down which role - Peter O Tool - Oscar,Laurence of Arabia
General,What was William H. Bonney's nickname,Billy the kid,Sports & Leisure,What game features the largest ball?,Earthball,General,What was T E Lawrence better known as,Lawrence of arabia
General,Outside the work is the literal meaning of which snack food,Hors Derves,General,What is the fear of becoming bald known as,Phalacrophobia,General,"In Greek mythology, who defeated Athene in a weaving contest",Arachne
General,Go down on me football the denver ____,Broncos,General,Whats a Sultans wife called,Sultana,General,What is a triangle whose sides are all of different lengths,Scalene
General,"Which painter, famous for his pop-art, died in 1997",Roy lichtenstein,General,"Who wrote a diary entitled ""Five Years of my Life"" at the beginning of this century",Alfred dreyfus,Sports & Leisure,What does TKO stand for,Technical knock out
General,What does the Latin RIP stand for ?,Requiescat in pace,General,Who was the longest serving president in French history,Francois mitterand,General,Who played lulu hogg on dukes of hazzard,Pearl shear
General,What did My Favorite Martian have to do before he could become invisible,Raise his antenna,General,What is the name of the elevated semi-desert region found in the northern and western Cape provinces of South Africa,Karoo,Geography,What is the capital of Mali,Bamako
Music,Which Group Had The Last Xmas Number One Of The 1980's,Band Aid 2,General,"Whose car, when found in Dallas in 1963, contained brass knuckles, a pistol holder, and a newspaper detailing JFK's motorcade route",Jack Ruby,General,"What were the names of Kevin's best friend and girl friend on ""The Wonder Years?""",Paul and Winnie
General,"Of what are Bristol, Rockingham, Chelsea, and Minton types",Pottery Porcelain China,Music,"What's The Connection Between Tom Jomes, Shirley Basey & The Alarm",Wales,Geography,"Unlike most African nations, ________ was never a European colony.",Ethiopia
General,What did Gene Autry name his ranch,Melody ranch, Geography,What is the capital of Chad ?,N'Djamena,General,"How did Mork, in ""Mork and Mindy"" say hello?",Nanoo nanoo
Geography,"___________ is smaller than the state of Montana (116,304 square miles and 147,138 square miles, respectively).",Italy,General,The sports manufacturing company 'Butterfly' are most famously associated with which sport?,Table Tennis,General,What is a zeppelin,Dirigible
General,What was first sold at the 1904 St Louis worlds fair,Ice cream cones,General,The Clifton Suspension Bridge spans which river,Avon,Geography,Which element makes up 2.5% of the Earth's crust,Potassium
Geography,Suez lies at one end of the Suez Canal which city is at the other end? ,Port Said ,Music,"Which American Singer Was Married To Debbie Reynolds , Elizabeth Taylor & Connie Stevens",Eddie Fisher,General,"What Greek wrote Meteorologica, popularizing that name for the study of weather",Aristotle
General,Amor Vincit Omnia a Latin phrase meaning what,Love conquers all,General,In which European city is the Arch of Titus,Rome,Science & Nature,From Which Country Did The Leek Originate ,Switzerland 
General,Pyrophobia is the fear of,Fire,Science & Nature,What does the Binet test measure,Intelligence,General,What is the first book in the vampire chronicles,Interview with a vampire
Science & Nature,What's the technical name for a three legged frog?,Ai,General,What is the young of this animal called: Eagle,Eaglet,General,What craft uses a kiln and a kick wheel,Pottery
